FishID,CommonName,Date,Region,Location,Latitude,Longitude,mmLength,d13C,d15N,CtoN
ARCI005,Arctic Cisco,2018-08-11,eastern,Kaktovik Lagoon,70.0907,-143.6593,323,-22.37,14.45, 3.88
ARCI014,Arctic Cisco,2018-08-12,eastern,Kaktovik Lagoon,70.0907,-143.6593,128,-25.68, 8.55, 4.16
ARCI021,Arctic Cisco,2017-08-06,eastern,Kaktovik Lagoon,70.0907,-143.6593,48,-25.75, 9.78, 4.61
ARCI038,Arctic Cisco,2017-08-05,eastern,Kaktovik Lagoon,70.0907,-143.6593,57,-25.61, 9.69, 5.90
ARCI040,Arctic Cisco,2017-08-09,eastern,Kaktovik Lagoon,70.0907,-143.6593,79,-24.88,10.04, 4.01
ARCI042,Arctic Cisco,2017-08-09,eastern,Kaktovik Lagoon,70.0907,-143.6593,67,-25.17, 9.00, 3.96
ARCI045,Arctic Cisco,2017-08-07,eastern,Kaktovik Lagoon,70.0907,-143.6593,63,-25.91, 9.33, 4.04
ARCI054,Arctic Cisco,2017-08-09,eastern,Kaktovik Lagoon,70.0907,-143.6593,84,-25.81,10.94, 4.30
ARCI072,Arctic Cisco,2017-08-05,eastern,Jago Lagoon,70.0870,-143.4750,63,-26.83, 9.80, 4.68
ARCI073,Arctic Cisco,2017-08-05,eastern,Jago Lagoon,70.0870,-143.4750,70,-26.26, 9.94, 4.70
ARCI086,Arctic Cisco,2018-07-23,central,Stefansson Sound,70.2929,-147.7982,231,-22.64,13.19, 4.04
ARCI087,Arctic Cisco,2018-07-23,central,Stefansson Sound,70.2929,-147.7982,193,-23.62,12.86, 3.86
ARCI092,Arctic Cisco,2017-08-06,eastern,Jago Lagoon,70.0870,-143.4750,72,-26.46,10.68, 4.31
ARCI094,Arctic Cisco,2017-08-06,eastern,Jago Lagoon,70.0870,-143.4750,63,-26.02, 8.94, 4.10
ARCI108,Arctic Cisco,2017-08-10,eastern,Jago Lagoon,70.0870,-143.4750,150,-26.97, 9.15, 3.83
ARCI109,Arctic Cisco,2017-08-10,eastern,Jago Lagoon,70.0870,-143.4750,151,-22.67,10.74, 4.21
ARCI111,Arctic Cisco,2018-07-23,central,Stefansson Sound,70.2767,-147.7777,111,-23.03,11.00, 3.77
ARCI116,Arctic Cisco,2018-07-23,central,Stefansson Sound,70.2767,-147.7777,84,-23.64,10.59, 3.79
ARCI139,Arctic Cisco,2018-07-21,central,Stefansson Sound,70.2929,-147.7982,152,-22.93,12.74, 3.75
ARCI141,Arctic Cisco,2018-07-21,central,Stefansson Sound,70.2929,-147.7982,134,-23.66,11.96, 3.83
ARCI142,Arctic Cisco,2018-07-21,central,Stefansson Sound,70.2929,-147.7982,139,-22.97,11.94, 3.84
